               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12706,            0.094823,             0.04224,           0.0048582,             0.10384,           0.0032835,          0.00073511,             0.11754,            0.090689,            0.039872,              0.0856,              0.0016,              0.0016
                   1,             0.11536,             0.10559,            0.039016,            0.070634,              0.2164,            0.051179,            0.012607,            0.099384,            0.089627,            0.037528,            0.070293,           0.0032935,           0.0032935
                   2,             0.10557,             0.09326,            0.036344,            0.054566,             0.15905,            0.052867,            0.011336,              0.1085,             0.13333,            0.036714,             0.05498,           0.0049802,           0.0049802
                   3,              0.1019,            0.082254,            0.034181,             0.43421,             0.20735,            0.090192,            0.021358,            0.095376,             0.11666,            0.035065,             0.03966,           0.0066602,           0.0066602
                   4,             0.09578,            0.081297,            0.033595,             0.54854,             0.20673,             0.17673,            0.046364,            0.099499,            0.089734,            0.034649,            0.024333,           0.0083335,           0.0083335
                   5,             0.09304,            0.079612,            0.033443,             0.14576,             0.26883,            0.082938,            0.019862,             0.10006,            0.080717,             0.03421,            0.009901,            0.009901,            0.009901
                   6,            0.096022,            0.074452,             0.03296,             0.28958,             0.47303,             0.30622,            0.093732,            0.083378,            0.079034,            0.032685,            0.009901,            0.009901,            0.009901
                   7,            0.081356,             0.08996,            0.032649,             0.24431,             0.37784,              0.2601,            0.084227,            0.075099,            0.076589,            0.031564,           0.0098812,           0.0098812,           0.0098812
                   8,            0.076445,            0.086076,            0.031919,             0.63893,             0.35169,             0.42308,             0.15747,            0.069376,            0.077979,            0.030605,           0.0098614,           0.0098614,           0.0098614
                   9,            0.076226,            0.083155,            0.031338,             0.32075,             0.39348,              0.2871,            0.090668,            0.072454,            0.081963,             0.03005,           0.0098416,           0.0098416,           0.0098416
                  10,            0.070568,            0.085041,             0.03089,             0.44558,             0.53974,             0.44791,             0.15431,            0.063989,            0.078444,            0.029809,           0.0098218,           0.0098218,           0.0098218
                  11,            0.068214,            0.081577,            0.030675,             0.63496,             0.39756,              0.3698,             0.13935,            0.070188,            0.083684,            0.029086,            0.009802,            0.009802,            0.009802
                  12,            0.068012,            0.086477,            0.029989,             0.36878,             0.60942,             0.46798,             0.17455,            0.064191,            0.071867,            0.028569,           0.0097822,           0.0097822,           0.0097822
                  13,            0.067848,            0.087416,            0.029455,             0.39416,             0.66581,             0.46926,              0.1718,            0.057549,            0.074489,            0.027671,           0.0097624,           0.0097624,           0.0097624
                  14,            0.062576,            0.082237,            0.028319,             0.32301,             0.67858,             0.43615,             0.15569,            0.066744,            0.069805,            0.027015,           0.0097426,           0.0097426,           0.0097426
                  15,            0.063314,            0.070447,            0.028003,             0.55657,             0.68151,             0.66056,             0.27443,            0.050736,            0.070259,            0.026218,           0.0097228,           0.0097228,           0.0097228
                  16,            0.062472,            0.079691,            0.027027,              0.3777,             0.64968,               0.525,             0.20677,            0.060733,            0.071572,            0.025517,            0.009703,            0.009703,            0.009703
                  17,            0.061262,            0.080648,            0.026215,             0.43546,              0.7234,             0.59076,             0.23049,            0.053524,            0.069501,            0.024801,           0.0096832,           0.0096832,           0.0096832
